Question_ID,Question,Answer,Rating,Sentiment,Keywords,Topic_Category,Reference
1,"will.i.am has been recognized by seven Grammy Awards, an Emmy Award, a CLIO Award, the World Economic ForumÕs Crystal Award, and an Honorary Fellowship by the Institution of Engineering and Technology (IET).",Thank you,3,Formal,"Biography, will.i.am, Grammy Awards, Emmy Award, World Economic Forum, Institution of Engineering and Technology",Biography,I.am/Angel Foundation. (n.d.). About will.i.am. I.am/Angel Foundation. Retrieved from https://www.iamangelfoundation.org/about/about-will-i-am/
2,"What is your perspective on the current state and future impact of AI on society, particularly in terms of job transformation and addressing inequalities?","I say this is a new renaissance. At one point in time, not a lot of people were believers of AI. And since then, we've seen this boom that took us from winter to spring. So we're seeing a lot of transformation. A lot of jobs, unfortunately, would be rendered obsolete, but new industries are going to sprout in this spring, and that will take us to summer. New job creation, a lot of inequities would've been solved. There's people in inner cities, people in rural areas that never had awesome education, never had opportunities, and now, for the first time in human history, problems that humans created, AI will help solve.",1,Formal,"AI, Society","Technology, Artificial Intelligence","Yahoo Finance. (2023, September 14). �This is a new Renaissance�: will.i.am on the AI boom [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=ybby0PFBRrE"
3.1,"What are your thoughts on AI's potential contribution to inequality, especially considering the focus on rebuilding trust at this year's World Economic Forum?    ","AI is trained on the open web. Everyone's searching for the golden data set for it to be a perfect product while it's trained on the open web, and the open web is filled with a lot of inequalities. The folks that are building the algorithms rarely look like me or my sister or my next- door neighbors. ",2,Objective,"AI, Inequality","Technology, Innovation","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
3.2,Say more?,"So that means there's going to be, it's built with a lot of bias, but that's just the current snapshot. And how rapid do we move to fix these knowns? How do we get closer to a better golden data set by removing the noise and the hate that's in the open web? And how do we get folks from the inner cities or underserved communities, underdeveloped communities, poverty- stricken communities to learn how to code and train data and write algorithms so we have a balance? So you can't base it off the current snapshot. You have to have an optimistic point of view on what it could be and try your hardest to get there.",2,Formal,"AI, bias","Technology, Artificial Intelligence","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
4,What are the discussions you've been having here at the World Economic Forum (WEF)? ,"Well, because I sat on the fourth industrial Revolution Council for some years here at WEF, and when there was an AI forum, the AI board, we've been discussing the same things we were discussing in 2017 and'18 and'19. It's just that now everybody knows the things that we were talking about and concerned about years ago.       ",3,Formal,WEF,"Fashion, Technology","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
5,"Given your long-term involvement and the recurring discussions on AI at the WEF, what changes do you foresee or advocate for in the approach to AI development and its societal impacts?","What needs to change is business models when you're deploying these mimic machines, because AI is just a big mimic machine currently as it grows to AGI. But right now, it's good at mimicking. And with lack of regulations while it mimics copyrights, IP, all these things fall under question. And when there's no regulations and governance around things being deployed, that's where the real issue is. The technology is amazing, the lack of regulations and things that I just mentioned, that's when things get a little hairy and scary.                 ",3,Formal,"World Economic Forum, Fourth Industrial Revolution, Global Artificial Intelligence Action Alliance, technology impact, AI, Generation AI, youth, education, privacy, regulations, governance","Technology, Artificial Intelligence","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
6.1,"Considering the ongoing AI discussions at the WEF, do you expect increased regulatory action soon?","Regulations that stifle innovation, there's a thin line between the two. So you want to regulate in ways that the automobile industry has regulated. So there's regulations and then there's F1. So there's vehicles that go butt- ass fast, and there's sports around that. Although while there's regulations on the safeties and traffic from people getting from point A to point B, every car manufacturer that deploys a car is vetted. There's safety procedures put in place, there's airbags or seatbelts. You know what you're buying. Every person that's going to operate that vehicle has to take a written test and a physical test, and that combination keeps streets safe. The same is not for these technologies that are being deployed. As a matter of fact, the folks that are making the technologies, there's no license. You don't have to be licensed to deploy AI, but you have to be licensed to deploy cars. You have to be licensed to fly helicopters, airplanes, there's licenses, and there's aviation.",3,Formal,"AI, WEF, regulatory action, innovation, regulations, automobile industry, safety procedures, technology, deployment, licenses","Technology, Regulation","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
6.2,I think I see where you'�re going�,"The same isn't for this, and no one's trying to stifle innovation. It's just like, let's put some proper humane safety procedures in place. Like, ""Hey, are you crazy? Do you have foul intents? Do you love communities? Is this technology you're about to deploy going to help us? What's your business practice? Is your business practice going to undermine our civil liberties or safeties and our privacies and our democracy?Ó How about we start there? Still keep innovation innovating. But I think that's the thing that people are talking about is if companies are going to lead with greed versus leading for society to continue to thrive. And the thing that breaks my heart is the amount of investment that goes into AI outweighs the amount of investment that goes into AI.",3,Casual,"innovation, safety procedures, technology, business practice, civil liberties, democracy, society, investment, AI, greed","Technology, Ethics","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
6.3,Hmm.,"So human intelligence versus artificial intelligence, who's responsible to keeping people up to speed and educating folks that when they go out into the world and they're leading when they're adults, products aren't smarter than them. We've never had to deal with that up until this point. You didn't have to worry about the Nike shoes that you're wearing to be smarter than you or your freaking laptop to be smarter than you or your TV to be smart. We got smart TVs, but it ain't smarter than you. These things are about to be smarter than the people that are watching them, and that's who responsibility is it to make sure that we're educated, then there's funds available, we pay our taxes. Where's the urgency?            ",3,Casual,"human intelligence, artificial intelligence, education, responsibility, technology, smart devices, awareness, funding, urgency, taxation","Technology, Artificial Intelligence","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
7,"Do you believe there's an urgent need for regulatory frameworks similar to those in the automotive industry for AI, to balance safety and innovation?","I mean, that's what I hope they're talking about up here at WEF.       ",3,Casual,"regulatory frameworks, automotive industry, AI, safety, innovation, WEF, urgent need, balance, discussion, hope","Technology, Artificial Intelligence (AI) Governance","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
