text,label
"Sustainable strategy ‘red lines’ For our sustainable strategy range, we incorporate a series of proprietary ‘red lines’ in order to ensure the poorest- performing companies from an ESG perspective are not eligible for investment.",1
"Verizon’s environmental, health and safety management system provides a framework for identifying, controlling, and reducing the risks associated with the environments in which we operate. Besides regular management system assessments, internal and third-party compliance audits and inspections are performed annually at hundreds of facilities worldwide. The goal of these assessments is to identify and correct site-specific issues, and to educate and empower facility managers and supervisors to implement corrective actions. Verizon’s environment, health and safety efforts are directed and supported by experienced experts around the world that support our operations and facilities.",1
"In 2019, the Company closed a series of transactions related to the sale of its Canadian fossil fuel-based electricity generation business. A transaction with Heartland Generation Ltd., an affiliate of Energy Capital Partners, included the sale of 10 partly or fully owned natural gas-fired and coal-fired electricity generation assets located in Alberta and British Columbia. In two other separate transactions, the Company sold its 50 per cent ownership interest in the Cory Cogeneration Station to SaskPower International and its 50 per cent ownership interest in Brighton Beach Power to Ontario Power Generation.",1
"In December 2020, the AUC approved the Electricity Distribution and Natural Gas Distribution requests to defer the compulsory distribution rate increases which would normally come into effect on January 1, 2021 for both businesses. The rate relief was requested to defer significant distribution rate increases which would be passed onto end use customers due to the formulaic approach of rate calculations under the AUC PBR mechanism. Electricity Distribution and Natural Gas Distribution cited the current economic situation in Alberta, including the hardships faced by some end use customers due to the COVID-19 pandemic, as rationale to proceed with these interim rates. Electricity Distribution and Natural Gas Distribution are to file an application by March 1, 2021, outlining the duration of the rate freeze and collection timelines, expected deferral values including carrying costs and anticipated impacts to customers.",1
"Finally, there is a reputational risk linked to the possibility that oil companies may be perceived by institutions and the general public as the entities mainly responsible of the climate change. This could possibly make Eni’s shares less attractive to investment funds and individual investors who assess the risk profile of companies against their environmental and social footprint when making investment decisions.",1
"Ecoefficiency Eco-efficiency management provides a reduction in the consumption of natural resources, such as water and energy, thus minimizing the environmental impact, in addition to the expenses with the acquisition of said inputs. With the same goal, GHG emissions and consumption of materials were rationalized, such as: paper, toner and fuel, reducing the generation of solid waste.",1
"The Group and its customers are exposed to climate related events, including climate change. These events include severe storms, drought, fires, cyclones, hurricanes, floods and rising sea levels. The Group and its customers may also be exposed to other events such as geological events (including volcanic seismic activity or tsunamis), plant, animal and human diseases or a pandemic.",1
"Increasing income of the middle classes leads to preference for quality and luxury products as well as differentiated needs including that for personal care items. Meanwhile, urban consumers are demanding greater convenience across their lifestyle choices, better mobility and light smart devices. These funnel into growing demand for specialty chemical products presenting us with exciting opportunities to drive sustainable growth.",0
"Both our Board and executive leadership team recognize that operating responsibly, which includes minimizing the environmental impact of our operations, is fundamental to the long-term success of Verizon. We believe building a better future involves making climate aware- ness “business as usual” throughout our organization, starting at the top. This is why our Board’s oversight role and management governance structures are evolving to include more regular assessment and discussion of climate-related risks and opportunities.",1
"Although it is intended that governments will ratchet up their commitments to emissions reduction – their ‘Nationally Determined Contributions’ – it is not clear that governments will do this, or will do so in time. Governments may also not live up to, or may renege upon, the commitments they have made.",1
"The Company has adopted the Executive Officer System since June 29, 2016 for the purpose of clarifying the responsibility for the execution of operations and establishing a more flexible management structure which can appropriately and swiftly respond to the rapidly changing business environment through the separation of the management decision-making and supervisory functions from the execution of operations, as well as by accelerating the delegation of authority to execute operations. Six executive officers, excluding those who have the concurrent position as Director, are as follows.",0
"Climate-related risks and opportunities have grown in importance for us as a business. As an insurance company understanding and managing risk is at the heart of what we do, and we recognise that climate change poses material long-term impacts to the business.",1
Note: 1. Please refer to page 29 within Metrics & Targets for further details on our emissions and energy reduction targets. 2. This reduction against target is the year-to-date position as of 30 June 2020 comparing like-for-like emissions against the same period in 2013.,1
"An emerging risk is defined as a risk which has large unknown components, which may form and crystallise beyond a one year horizon. If these risks were to materialise, they could have a material impact on the Group’s long term strategy, affect profitability and damage the Group’s reputation. Existing management action plans are likely to be minimal, reflecting the uncertain nature of these risks. Some high-level analysis or stress testing may have been carried out to try to assess and quantify impact.",0
"PETRONAS PowerClean™ WS601, an all-in-one well bore solution. Efficient and cost effective, these products help oil and gas players continue to extract hydrocarbons with reduced impact on our natural resources and environment.",1
"Co. (Charter Ping An), the #5 non-life insurer in the Philippines (2 ) for a total amount of €40 million (3 ).This acquisition allows AXA to offer Property & Casualty insurance products alongside its current range of Life & Savings products. AXA also extended its successful bancassurance partnership with GT Capital and Metrobank, the #2 bank in the country (4 ), to include the distribution of Property & Casualty insurance products.",0
"Moreover, we continue to enhance the durability, safety, quality and performance of its products to ensure that consumers can comfortably enjoy them over an extended period, as well as design and develop various accessories, and pursue cost-cutting and energy conservation initiatives.",1
"We emit greenhouse gases both directly and indirectly. Our direct (scope one) emissions come from our industrial businesses, including the use of natural gas and diesel, and fugitive emissions from coal mining. Our main source of indirect (scope two) emissions is electricity used in our operations. We also estimate other indirect (scope three) emissions that occur as a result of our operations such as air travel, but are not controlled by us.",1
"In practice, the short-term nature of the business, the ability to re-price annually and the risk mitigation provided by reinsurance arrangements are likely to limit the impact on general insurance liabilities. However, over time the increased physical effects of climate change are likely to result in more risks and perils becoming either uninsurable or unaffordable.",1
"We work with the business continuity team of our parent company to understand and manage a broad set of short, medium and long-term business continuity risks, of which climate change is one component.",1
"Linde is subject to various claims, legal proceedings and government investigations that arise from time to time in the ordinary course of business. These actions are based upon alleged environmental, tax, antitrust and personal injury claims, among others (see Note 19 to the consolidated financial statements). Such contingencies are significant and the accounting requires considerable management judgments in analyzing each matter to assess the likely outcome and the need for establishing appropriate liabilities and providing adequate disclosures. Linde believes it records and/or discloses such contingencies as appropriate and has reasonably estimated its liabilities.",1
"Internal reputation We also support a business culture where employees help employees. The VtoV Employee Relief Fund pro- vides aid for Verizon employees displaced from their homes due to a natural or personal emergency, such as fire, flood, severe weather, or domestic violence. VtoV has provided grants to Verizon employees around the world to use toward food, clothing, shelter, and other necessities during life-changing disasters.",1
" To exclude the least energy efficient hydrocarbons and those that pose the greatest threat to the environment, because these are incompatible with the goal of combating climate change and they represent an economic risk for investors. This means turning down projects and companies that do the majority of their business in: o Oil sands production, o Oil extracted from the Arctic region (off-shore and on-shore production), o Shale gas or oil production involving excessive flaring or venting, o Infrastructure projects mainly intended for schemes covered by the exclusion criteria set out above,  Crédit Agricole S.A. is committed to offsetting the Group's entire direct carbon footprint until 2040 via the",1
"With regard to its carbon footprint, the Group calculates its direct emissions (Scope 1), indirect emissions from energy consumption (Scope 2) and other indirect emissions due to company activities that are not under its direct control (Scope 3). In 2019, Atlantia Group produced approx. 355 thousand tonnes of carbon dioxide equivalent (Scope 1 + Scope 2), mainly due to emissions deriving from the production of electrical energy consumed (46%) and emissions linked to the consumption of fuel for transport (21%) and for cogeneration (20%). The remaining emissions are emissions due to consumption for heating and to supply systems and emergency gensets.",1
"Extreme weather events represent a potential risk. Loss or impairment of key manufacturing sites, inability to procure sufficient raw materials, disruption to transportation of raw materials or finished goods, etc. could disrupt our operations if they are not effectively managed and remedied. We have over 100 sites globally and a broad supplier network. This provides some level of flexibility to adjust production and sourcing. In addition, each site has a business continuity plan, which is regularly reviewed and updated. These plans include considerations for disruptions caused by extreme weather events.",1
"2 Increased severity/frequency of extreme weather events. Loss or impairment of key manufacturing sites, inability to procure sufficient raw materials, disruption to transportation of raw materials or finished goods, etc. as result of an extreme weather event could disrupt our operations if the response to such an event is not effectively managed and remedied.",1
"All six capitals are important to our smooth operations and in creating a healthy balance between our economic, social and environmental scorecards. They are also interrelated, and may change in compositions according to actions taken as we focus on different areas that are strategic to our sustainable growth.",1
"REDUCING ENERGY CONSUMPTION A number of energy-efficiency projects have been implemented such as lighting control and heating, ventilation, and air conditioning (HVAC) upgrades. These projects help reduce energy costs and our greenhouse-gas footprint.",1
"To advance our voting activities on climate change, we created our first climate-change voting policy, which will commence this year. We will look to vote against the re-election of chairs of heavy emitting companies’ boards that have inadequate climate-change disclosures, management and emissions performance. This will include the consideration of how risks and opportunities presented by the low-carbon transition are managed, as well as a company’s own Scope 1 and 2 emissions.",1
"Extreme wind and rain, storms and other events Extreme weather conditions are expected, involving increased intense tropical cyclone activity, increased frequency of floods and large-area floods in many regions, higher sea levels and an increased risk of drought in Australia, Eastern New Zealand, and the Mediterranean, with exceptional seasonal droughts in Central Europe and Central America. This could lead to wind storms and flooding. It is expected that climate change may lead to more tropical storms. Therefore, certain areas such as the US Gulf Coast, China, Japan and Vietnam are increasingly vulnerable.",1
"Strains on the natural environment are intensifying with the impacts of climate change and water scarcity increasingly visible. Momentum is gathering globally to tackle climate change following the Paris Agreement, which came into force in 2016, aiming to limit temperature rise this century to below 2 degrees Celsius above pre-industrial levels. Concerns about the planet and society are matched by concerns about our own health. Obesity kills more people than hunger, while many populations struggle to find sufficient nourishment in their diets, presenting opportunities to meet these growing consumer needs.",1
"We outline some of these overarching risk management processes below, in which climate change is considered. See the Strategy section for more about our approaches to managing specific risks and opportunities.",1
"Our stakeholders are increasingly concerned about a number of pressing global issues, some of which are directly related to the operations of corporations. These material matters shape our sustainability agenda and initiatives in order to manage external risks while also presenting opportunities for growth.",1
"Over the last few years, we have witnessed a continued increase in the number and severity of weather events. As mentioned in Section 11.2, the events in Fort McMurray were the costliest natural catastrophe in Canadian history and highlight the risk of wildfire in Canada. Changing weather patterns may have an impact on the likelihood and severity of natural catastophes, such as wildfires. The trend in climate change continues to pose a meaningful risk to our ability to meet our business objectives.",1
"� SASB materiality: in the 2019 process, as a further element of analysis, account was taken of the materiality assessment of the 28 mapped themes obtained using the materiality assessment tool developed by the Sustainability Accounting Standards Board, with reference to a number of sectors, specifically including road and air transport, engineering, construction and logistics. SASB standards[3] specifically focus on how the pertinent themes are perceived by investors. Therefore, this materiality model is mainly based on an assessment of the effects ESG issues can have on the financial conditions or operating performance of companies within a specific sector.",1
"All our manufacturing partners are subject to specific performance criteria which are regularly measured and reviewed by Global Operations. To ensure the high quality that consumers expect from our products, we enforce strict control and inspection procedures of our manufacturing partners and in our own factories. Effectiveness of product-related standards is constantly measured through quality and material claim procedures. In addition, we track social and environmental performance criteria of our suppliers through the compliance and environmental KPI (C-KPI and E-KPI) tracking system. Adherence to social and environmental standards is promoted throughout our supply chain. The current list of our independent manufacturing partners can be found on our website. ¬ ► ADIDAS-GROUP.COM/S/SUPPLY-CHAIN- APPROACH ► SEE SUSTAINABILITY",1
"BB DTVM, by strategic direction, performs extensive asset screening considering socioenvironmental and corporate governance aspects. By means of its own ESG methodology, which uses a combination of positive and negative screening, it ended the period with R$ 648.85 billion in assets subject to this methodology, representing 55.12% of the total assets under management. The asset manager has been managing and distributing 10 investment funds with socioenvironmental characteristics to the different investor segments, that, in December 2020, totaled R$ 3.15 billion in shareholders’ equity.",1
